month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
1/1/2009,Alabama,0,,12280,12563,,777,0,5,15,,1779,2351,,,,,,,,,,,,,29770
1/1/2009,Alaska,0,,1783,1959,,217,0,8,5,,115,140,,,,,,,,,,,,,4227
1/1/2009,Arizona,3329,,8304,6642,,563,0,2,2,,864,587,,,,,,,,,,,,,20293
1/1/2009,Arkansas,2839,,5567,6446,,365,0,4,26,,759,1813,,,,,,,,,,,,,17819
1/1/2009,California,29229,,21603,21205,,0,2,0,0,,0,0,,,,,,,,,,,,,72039
1/1/2009,Colorado,1,,12325,11576,,4291,0,0,0,,0,0,,,,,,,,,,,,,28193
1/1/2009,Connecticut,10731,,4130,3506,,151,75,0,0,,0,0,,,,,,,,,,,,,18593
1/1/2009,Delaware,0,,971,848,,41,0,0,0,,0,0,,,,,,,,,,,,,1860
1/1/2009,District of Columbia,0,,33,1,,0,0,0,0,,0,0,,,,,,,,,,,,,34
1/1/2009,Florida,0,,29351,18574,,1384,425,3,1,,826,605,,,,,,,,,,,,,51169
1/1/2009,Georgia,15218,,11415,9324,,543,0,27,56,,1257,1863,,,,,,,,,,,,,39703
1/1/2009,Guam,0,,22,30,,2,0,0,0,,0,0,,,,,,,,,,,,,54
1/1/2009,Hawaii,894,,0,0,,0,0,0,0,,0,0,,,,,,,,,,,,,894
1/1/2009,Idaho,1940,,2404,3506,,219,0,5,6,,240,583,,,,,,,,,,,,,8903
1/1/2009,Illinois,43131,,9012,9485,,440,0,0,0,,0,0,,,,,,,,,,,,,62068
1/1/2009,Indiana,0,,11648,10284,,790,0,0,0,,2,472,,,,,,,,,,,,,23196
1/1/2009,Iowa,8498,,35,3305,,33,0,0,1,,3,112,,,,,,,,,,,,,11987
1/1/2009,Kansas,0,,6488,6418,,471,0,2,3,,345,404,,,,,,,,,,,,,14131
1/1/2009,Kentucky,145120,,8922,8631,,875,0,10,16,,1347,2114,,,,,,,,,,,,,167035
1/1/2009,Louisiana,0,,9366,10487,,584,0,6,7,,796,973,,,,,,,,,,,,,22219
1/1/2009,Maine,0,,1721,2195,,116,0,4,35,,43,86,,,,,,,,,,,,,4200
1/1/2009,Mariana Islands,0,,0,0,,0,0,0,0,,0,0,,,,,,,,,,,,,0
1/1/2009,Maryland,0,,4456,4108,,14,0,3,2,,50,101,,,,,,,,,,,,,8734
1/1/2009,Massachusetts,4421,,2570,1820,,149,0,0,0,,0,0,,,,,,,,,,,,,8960
1/1/2009,Michigan,17672,,2403,9604,,221,0,0,0,,0,282,,,,,,,,,,,,,30182
1/1/2009,Minnesota,9279,,5561,7035,,375,0,0,5,,86,427,,,,,,,,,,,,,22768
1/1/2009,Mississippi,230,,5456,7611,,349,0,33,50,,948,1524,,,,,,,,,,,,,16201
1/1/2009,Missouri,1015,,15627,12613,,939,0,4,12,,479,1421,,,,,,,,,,,,,32110
1/1/2009,Montana,863,,2056,3049,,244,0,1,5,,320,981,,,,,,,,,,,,,7519
1/1/2009,Nebraska,3215,,8,2366,,12,0,0,1,,1,99,,,,,,,,,,,,,5702
1/1/2009,Nevada,1209,,4663,3623,,294,0,0,0,,273,162,,,,,,,,,,,,,10224
1/1/2009,New Hampshire,1411,,2444,2279,,15,8,0,1,,0,7,,,,,,,,,,,,,6165
