month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
1/1/2001,Alabama,0,,7541,9904,,288,0,,,,,,,,,,,,,,,,,,17733
1/1/2001,Alaska,0,,853,1494,,61,1,,,,,,,,,,,,,,,,,,2409
1/1/2001,Arizona,761,,5113,4802,,227,376,,,,,,,,,,,,,,,,,,11279
1/1/2001,Arkansas,578,,3701,8153,,237,0,,,,,,,,,,,,,,,,,,12669
1/1/2001,California,14828,,21812,24292,,0,3,,,,,,,,,,,,,,,,,,60935
1/1/2001,Colorado,0,,10068,12723,,861,2,,,,,,,,,,,,,,,,,,23654
1/1/2001,Connecticut,7113,,1,0,,0,4,,,,,,,,,,,,,,,,,,7118
1/1/2001,Delaware,0,,415,665,,16,0,,,,,,,,,,,,,,,,,,1096
1/1/2001,District of Columbia,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,0
1/1/2001,Florida,0,,11227,10396,,395,1146,,,,,,,,,,,,,,,,,,23164
1/1/2001,Georgia,3255,,7091,9129,,227,6331,,,,,,,,,,,,,,,,,,26033
1/1/2001,Guam,0,,8,20,,0,0,,,,,,,,,,,,,,,,,,28
1/1/2001,Hawaii,684,,0,0,,0,0,,,,,,,,,,,,,,,,,,684
1/1/2001,Idaho,0,,1425,2970,,118,882,,,,,,,,,,,,,,,,,,5395
1/1/2001,Illinois,24377,,4933,6521,,169,0,,,,,,,,,,,,,,,,,,36000
1/1/2001,Indiana,6686,,2231,4029,,5,0,,,,,,,,,,,,,,,,,,12951
1/1/2001,Iowa,6161,,45,2523,,3,15,,,,,,,,,,,,,,,,,,8747
1/1/2001,Kansas,0,,2736,4853,,171,0,,,,,,,,,,,,,,,,,,7760
1/1/2001,Kentucky,0,,7413,9993,,414,0,,,,,,,,,,,,,,,,,,17820
1/1/2001,Louisiana,0,,4899,7023,,209,0,,,,,,,,,,,,,,,,,,12131
1/1/2001,Maine,0,,931,1603,,53,0,,,,,,,,,,,,,,,,,,2587
1/1/2001,Mariana Islands,0,,17,0,,3,0,,,,,,,,,,,,,,,,,,20
1/1/2001,Maryland,2328,,144,3098,,9,0,,,,,,,,,,,,,,,,,,5579
