month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
1/1/2017,Alabama,25093,0,6770,6572,301,278,0,10,12,0,1231,1248,6,0,0,0,0,0,15,6,0,0,0,0,41542
1/1/2017,Alaska,185,0,2028,1631,187,127,0,2,6,0,149,141,2,16,12,0,0,0,6,6,2,0,0,0,4500
1/1/2017,Arizona,8117,122,12108,7353,951,550,0,4,5,0,1372,635,8,114,12,0,0,0,8,5,2,0,0,0,31366
1/1/2017,Arkansas,2512,867,5174,5278,242,313,34,2,8,0,948,1367,5,0,0,0,0,0,5,6,0,0,1,0,16762
1/1/2017,California,62397,0,41516,22686,2898,0,0,0,0,0,480,381,7,0,0,0,0,0,0,0,0,0,0,0,130365
1/1/2017,Colorado,5619,0,17189,11864,1128,982,0,0,0,0,0,0,0,217,43,5,0,0,0,0,0,0,0,0,37047
1/1/2017,Connecticut,6706,0,6133,2115,118,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15073
1/1/2017,Delaware,736,0,1815,1466,81,57,0,0,2,0,34,18,1,0,0,0,0,0,53,32,4,0,0,0,4299
1/1/2017,District of Columbia,6,0,69,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
1/1/2017,Florida,21675,0,51599,21867,3129,1816,2,7,4,0,2978,1210,6,238,37,3,0,0,5,0,0,0,0,0,104576
1/1/2017,Georgia,20369,0,12519,7945,460,376,0,5,5,1,1660,1238,18,0,0,0,0,0,13,5,1,0,0,0,44615
1/1/2017,Guam,0,0,118,66,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205
1/1/2017,Hawaii,864,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,866
1/1/2017,Idaho,4469,1,2617,3049,207,122,0,2,3,0,272,370,1,24,2,0,0,0,1,5,0,0,1,0,11146
1/1/2017,Illinois,23670,77792,24594,11185,0,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138008
1/1/2017,Indiana,45206,0,21284,11456,1261,607,12,4,5,2,21,448,23,12,0,0,0,0,47,18,2,3,1,0,80412
