month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
1/1/2020,Alabama,37140,510,22478,12598,1313,1010,0,43,17,5,2706,1417,16,0,0,0,0,0,43,31,3,1,1,0,79332
1/1/2020,Alaska,223,7,2151,1529,312,142,0,1,1,0,140,95,2,48,40,0,0,0,3,8,4,0,0,0,4706
1/1/2020,Arizona,5727,808,15126,7087,1475,1022,0,12,4,1,1300,521,5,99,8,1,0,0,16,10,2,0,0,0,33224
1/1/2020,Arkansas,3094,790,6621,5524,435,368,8,14,3,0,1072,1153,1,0,0,0,0,0,27,12,1,1,1,1,19126
1/1/2020,California,34694,0,34884,22057,4131,0,0,0,0,0,451,338,12,0,0,0,0,0,0,0,0,0,0,0,96567
1/1/2020,Colorado,7802,0,19614,11451,1757,1141,0,0,0,0,0,0,0,309,54,5,0,0,0,0,0,0,0,0,42133
1/1/2020,Connecticut,6570,412,5820,2187,694,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15695
1/1/2020,Delaware,459,0,2096,1524,143,68,0,3,2,0,20,11,0,44,0,0,0,0,74,31,6,0,1,0,4482
1/1/2020,District of Columbia,511,0,124,4,0,1,0,0,0,0,0,0,0,2,0,24,0,0,0,0,0,0,0,0,666
1/1/2020,Florida,21461,0,54985,19973,3957,2488,0,23,11,0,4203,1221,6,1014,94,9,0,0,272,151,41,57,52,1,110019
1/1/2020,Georgia,25933,0,14422,7886,797,549,0,22,18,1,1814,1081,8,6,0,0,0,0,14,3,2,1,0,0,52557
1/1/2020,Guam,0,0,155,56,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229
1/1/2020,Hawaii,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1182
1/1/2020,Idaho,7050,13,4359,3607,496,213,0,8,3,1,373,363,1,36,6,1,0,0,5,6,0,0,0,0,16541
1/1/2020,Illinois,17551,561765,22567,9588,0,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612411
1/1/2020,Indiana,846,40148,22340,12461,2166,890,17,6,10,1,715,402,29,31,0,0,0,0,80,57,76,1,6,1,80283
1/1/2020,Iowa,7776,12451,198,2030,50,4,2,0,1,0,2,41,0,34,8,2,0,0,0,1,0,0,0,0,22600
1/1/2020,Kansas,1658,11,6624,5196,702,365,0,7,2,3,621,308,9,43,10,0,0,0,11,7,0,1,0,0,15578
1/1/2020,Kentucky,2314,340741,12022,7558,704,655,0,27,22,1,1853,1321,3,8,8,0,0,0,30,28,3,1,1,1,367301
1/1/2020,Louisiana,1988,245,10706,7687,798,502,0,12,17,2,1030,653,12,0,0,0,0,0,15,16,2,0,1,0,23686
1/1/2020,Maine,464,6,3534,2661,351,179,6,1,1,0,75,79,0,24,8,0,0,0,4,7,0,0,0,0,7400
1/1/2020,Mariana Islands,0,0,18,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
1/1/2020,Maryland,3985,10,4283,5213,118,14,0,5,3,0,68,119,2,77,28,0,0,0,0,34,1,0,1,0,13961
1/1/2020,Massachusetts,9289,0,5182,2833,628,191,9,0,0,1,10,13,3,0,2,0,0,0,33,28,9,3,0,1,18235
1/1/2020,Michigan,20493,5055,11806,8250,941,225,0,0,4,0,7,179,4,102,36,1,0,0,0,7,0,0,0,0,47110
1/1/2020,Minnesota,11108,26463,9445,7565,974,445,0,4,4,0,243,214,4,60,11,1,0,0,13,4,3,0,0,0,56561
1/1/2020,Mississippi,2223,0,8790,5922,445,356,0,26,15,1,1573,1023,10,14,2,0,0,0,9,9,1,0,1,0,20420
1/1/2020,Missouri,4059,0,20436,13149,2065,1099,0,22,5,0,1470,838,12,251,54,4,0,0,68,47,11,3,3,0,43596
1/1/2020,Montana,2011,0,2884,3010,271,224,13,4,10,0,437,595,1,24,2,4,0,0,3,6,0,0,0,0,9499
